Time,HeartRate,Cadence
2023-10-01 00:01:12,137,174
2023-10-01 00:01:13,130,174
2023-10-01 00:01:14,138,175
2023-10-01 00:01:15,137,172
2023-10-01 00:01:16,138,175
2023-10-01 00:01:17,134,175
2023-10-01 00:01:18,134,175
2023-10-01 00:01:19,135,172
2023-10-01 00:01:20,130,172
2023-10-01 00:01:21,140,177
2023-10-01 00:01:22,129,172
2023-10-01 00:01:23,130,174
2023-10-01 00:01:24,133,174
2023-10-01 00:01:25,137,177
2023-10-01 00:01:26,141,176
2023-10-01 00:01:27,132,176
2023-10-01 00:01:28,140,176
2023-10-01 00:01:29,142,176
2023-10-01 00:01:30,139,173
2023-10-01 00:01:31,129,173
2023-10-01 00:01:32,141,174
2023-10-01 00:01:33,129,177
2023-10-01 00:01:34,140,173
2023-10-01 00:01:35,134,176
2023-10-01 00:01:36,140,177
2023-10-01 00:01:37,133,175
2023-10-01 00:01:38,139,172
2023-10-01 00:01:39,131,172
2023-10-01 00:01:40,140,176
2023-10-01 00:01:41,131,176
2023-10-01 00:01:42,142,177
2023-10-01 00:01:43,129,174
2023-10-01 00:01:44,142,175
2023-10-01 00:01:45,130,175
2023-10-01 00:01:46,133,177
2023-10-01 00:01:47,132,174
2023-10-01 00:01:48,138,177
2023-10-01 00:01:49,130,174
2023-10-01 00:01:50,134,173
2023-10-01 00:01:51,141,177
2023-10-01 00:01:52,132,177
2023-10-01 00:01:53,133,177
2023-10-01 00:01:54,130,176
2023-10-01 00:01:55,140,175
2023-10-01 00:01:56,142,176
2023-10-01 00:01:57,131,174
2023-10-01 00:01:58,130,175
2023-10-01 00:01:59,131,175
2023-10-01 00:02:00,128,177
2023-10-01 00:02:01,138,172
2023-10-01 00:02:02,133,173
2023-10-01 00:02:03,132,177
2023-10-01 00:02:04,138,175
2023-10-01 00:02:05,136,174
2023-10-01 00:02:06,132,177
2023-10-01 00:02:07,132,175
2023-10-01 00:02:08,130,172
2023-10-01 00:02:09,128,172
2023-10-01 00:02:10,132,175
2023-10-01 00:02:11,134,172
2023-10-01 00:02:12,130,172
2023-10-01 00:02:13,137,177
2023-10-01 00:02:14,142,177
2023-10-01 00:02:15,142,175
2023-10-01 00:02:16,136,172
2023-10-01 00:02:17,139,177
2023-10-01 00:02:18,139,177
2023-10-01 00:02:19,138,173
2023-10-01 00:02:20,130,173
2023-10-01 00:02:21,133,173
2023-10-01 00:02:22,138,174
2023-10-01 00:02:23,130,174
2023-10-01 00:02:24,137,175
2023-10-01 00:02:25,133,175
2023-10-01 00:02:26,133,175
2023-10-01 00:02:27,138,177
2023-10-01 00:02:28,140,174
2023-10-01 00:02:29,135,172
2023-10-01 00:02:30,128,177
2023-10-01 00:02:31,142,172
2023-10-01 00:02:32,131,173
2023-10-01 00:02:33,138,177
2023-10-01 00:02:34,133,174
2023-10-01 00:02:35,139,173
2023-10-01 00:02:36,128,175
2023-10-01 00:02:37,129,176
2023-10-01 00:02:38,137,174
2023-10-01 00:02:39,139,175
2023-10-01 00:02:40,140,175
2023-10-01 00:02:41,135,172
2023-10-01 00:02:42,139,177
2023-10-01 00:02:43,139,175
2023-10-01 00:02:44,132,173
2023-10-01 00:02:45,133,174
2023-10-01 00:02:46,134,174
2023-10-01 00:02:47,140,174
2023-10-01 00:02:48,139,176
2023-10-01 00:02:49,131,172
2023-10-01 00:02:50,131,173
2023-10-01 00:02:51,136,176
2023-10-01 00:02:52,133,174
2023-10-01 00:02:53,136,174
2023-10-01 00:02:54,128,172
2023-10-01 00:02:55,138,172
2023-10-01 00:02:56,142,174
2023-10-01 00:02:57,133,177
2023-10-01 00:02:58,139,174
2023-10-01 00:02:59,133,176
2023-10-01 00:03:00,129,172
2023-10-01 00:03:01,137,173
2023-10-01 00:03:02,142,175
2023-10-01 00:03:03,129,172
2023-10-01 00:03:04,134,175
2023-10-01 00:03:05,139,175
2023-10-01 00:03:06,131,176
2023-10-01 00:03:07,128,174
2023-10-01 00:03:08,129,176
2023-10-01 00:03:09,135,177
2023-10-01 00:03:10,138,174
2023-10-01 00:03:11,138,175
2023-10-01 00:03:12,139,173
2023-10-01 00:03:13,140,174
2023-10-01 00:03:14,129,173
2023-10-01 00:03:15,128,173
2023-10-01 00:03:16,141,174
2023-10-01 00:03:17,138,173
2023-10-01 00:03:18,128,175
2023-10-01 00:03:19,142,176
2023-10-01 00:03:20,131,176
2023-10-01 00:03:21,130,172
2023-10-01 00:03:22,130,175
2023-10-01 00:03:23,136,175
2023-10-01 00:03:24,135,177
2023-10-01 00:03:25,129,174
2023-10-01 00:03:26,129,172
2023-10-01 00:03:27,131,176
2023-10-01 00:03:28,133,173
2023-10-01 00:03:29,130,175
2023-10-01 00:03:30,135,172
2023-10-01 00:03:31,134,172
2023-10-01 00:03:32,136,174
2023-10-01 00:03:33,132,174
2023-10-01 00:03:34,137,174
2023-10-01 00:03:35,142,174
2023-10-01 00:03:36,128,173
2023-10-01 00:03:37,129,173
2023-10-01 00:03:38,132,172
2023-10-01 00:03:39,137,175
2023-10-01 00:03:40,136,173
2023-10-01 00:03:41,133,173
2023-10-01 00:03:42,129,172
2023-10-01 00:03:43,134,173
2023-10-01 00:03:44,129,176
2023-10-01 00:03:45,138,177
2023-10-01 00:03:46,132,172
2023-10-01 00:03:47,130,172
2023-10-01 00:03:48,134,173
2023-10-01 00:03:49,140,174
2023-10-01 00:03:50,140,173
2023-10-01 00:03:51,142,175
2023-10-01 00:03:52,134,173
2023-10-01 00:03:53,142,176
2023-10-01 00:03:54,135,172
2023-10-01 00:03:55,131,177
2023-10-01 00:03:56,132,175
2023-10-01 00:03:57,132,174
2023-10-01 00:03:58,133,173
2023-10-01 00:03:59,137,172
2023-10-01 00:04:00,132,177
2023-10-01 00:04:01,139,176
2023-10-01 00:04:02,129,174
2023-10-01 00:04:03,128,176
2023-10-01 00:04:04,140,174
2023-10-01 00:04:05,137,173
2023-10-01 00:04:06,138,173
2023-10-01 00:04:07,135,177
2023-10-01 00:04:08,142,173
2023-10-01 00:04:09,136,173
2023-10-01 00:04:10,142,172
2023-10-01 00:04:11,131,176
2023-10-01 00:04:12,134,172
2023-10-01 00:04:13,134,175
2023-10-01 00:04:14,137,173
2023-10-01 00:04:15,135,174
2023-10-01 00:04:16,141,175
2023-10-01 00:04:17,138,173
2023-10-01 00:04:18,135,174
2023-10-01 00:04:19,131,175
2023-10-01 00:04:20,140,173
2023-10-01 00:04:21,133,177
2023-10-01 00:04:22,128,175
2023-10-01 00:04:23,142,174
2023-10-01 00:04:24,131,176
2023-10-01 00:04:25,129,176
2023-10-01 00:04:26,134,175
2023-10-01 00:04:27,132,177
2023-10-01 00:04:28,132,174
2023-10-01 00:04:29,135,172
2023-10-01 00:04:30,142,174
2023-10-01 00:04:31,134,174
2023-10-01 00:04:32,137,174
2023-10-01 00:04:33,139,177
2023-10-01 00:04:34,142,177
2023-10-01 00:04:35,140,173
2023-10-01 00:04:36,137,172
2023-10-01 00:04:37,129,177
2023-10-01 00:04:38,138,173
2023-10-01 00:04:39,136,175
2023-10-01 00:04:40,133,172
2023-10-01 00:04:41,130,175
2023-10-01 00:04:42,132,175
2023-10-01 00:04:43,137,172
2023-10-01 00:04:44,140,176
2023-10-01 00:04:45,142,176
2023-10-01 00:04:46,135,176
2023-10-01 00:04:47,136,177
2023-10-01 00:04:48,130,177
2023-10-01 00:04:49,131,172
2023-10-01 00:04:50,136,173
2023-10-01 00:04:51,130,177
2023-10-01 00:04:52,141,173
2023-10-01 00:04:53,133,177
2023-10-01 00:04:54,140,172
2023-10-01 00:04:55,135,177
2023-10-01 00:04:56,134,174
2023-10-01 00:04:57,135,177
2023-10-01 00:04:58,128,175
2023-10-01 00:04:59,135,173
2023-10-01 00:05:00,129,173
2023-10-01 00:05:01,140,172
2023-10-01 00:05:02,131,176
2023-10-01 00:05:03,142,174
2023-10-01 00:05:04,129,173
2023-10-01 00:05:05,132,177
2023-10-01 00:05:06,137,173
2023-10-01 00:05:07,142,172
2023-10-01 00:05:08,136,173
2023-10-01 00:05:09,128,175
2023-10-01 00:05:10,130,177
2023-10-01 00:05:11,131,176
2023-10-01 00:05:12,142,176
2023-10-01 00:05:13,128,176
2023-10-01 00:05:14,130,176
2023-10-01 00:05:15,128,176
2023-10-01 00:05:16,135,177
2023-10-01 00:05:17,133,174
2023-10-01 00:05:18,137,174
2023-10-01 00:05:19,129,177
2023-10-01 00:05:20,139,175
2023-10-01 00:05:21,130,174
2023-10-01 00:05:22,133,177
2023-10-01 00:05:23,142,176
2023-10-01 00:05:24,142,172
2023-10-01 00:05:25,135,177
2023-10-01 00:05:26,138,177
2023-10-01 00:05:27,132,173
2023-10-01 00:05:28,134,172
2023-10-01 00:05:29,131,177
2023-10-01 00:05:30,128,175
2023-10-01 00:05:31,139,174
2023-10-01 00:05:32,129,172
2023-10-01 00:05:33,130,172
2023-10-01 00:05:34,138,177
2023-10-01 00:05:35,142,175
2023-10-01 00:05:36,140,172
2023-10-01 00:05:37,138,173
2023-10-01 00:05:38,137,177
2023-10-01 00:05:39,133,172
2023-10-01 00:05:40,134,174
2023-10-01 00:05:41,130,174
2023-10-01 00:05:42,142,175
2023-10-01 00:05:43,137,173
2023-10-01 00:05:44,129,173
2023-10-01 00:05:45,142,174
2023-10-01 00:05:46,134,175
2023-10-01 00:05:47,134,175
2023-10-01 00:05:48,141,176
2023-10-01 00:05:49,140,174
2023-10-01 00:05:50,135,174
2023-10-01 00:05:51,139,174
2023-10-01 00:05:52,128,173
2023-10-01 00:05:53,141,172
2023-10-01 00:05:54,128,174
2023-10-01 00:05:55,133,174
2023-10-01 00:05:56,128,172
2023-10-01 00:05:57,140,174
2023-10-01 00:05:58,137,172
2023-10-01 00:05:59,142,172
2023-10-01 00:06:00,134,174
2023-10-01 00:06:01,137,174
2023-10-01 00:06:02,137,172
2023-10-01 00:06:03,131,175
2023-10-01 00:06:04,141,175
2023-10-01 00:06:05,136,174
2023-10-01 00:06:06,132,177
2023-10-01 00:06:07,141,174
2023-10-01 00:06:08,129,174
2023-10-01 00:06:09,140,177
2023-10-01 00:06:10,129,173
2023-10-01 00:06:11,140,175
2023-10-01 00:06:12,142,177
2023-10-01 00:06:13,140,173
2023-10-01 00:06:14,138,175
2023-10-01 00:06:15,136,173
2023-10-01 00:06:16,141,172
2023-10-01 00:06:17,142,174
2023-10-01 00:06:18,141,176
2023-10-01 00:06:19,141,176
2023-10-01 00:06:20,141,177
2023-10-01 00:06:21,131,176
2023-10-01 00:06:22,138,173
2023-10-01 00:06:23,136,173
2023-10-01 00:06:24,136,175
2023-10-01 00:06:25,131,173
2023-10-01 00:06:26,137,176
2023-10-01 00:06:27,130,172
2023-10-01 00:06:28,134,174
2023-10-01 00:06:29,133,172
2023-10-01 00:06:30,142,173
2023-10-01 00:06:31,136,175
2023-10-01 00:06:32,134,174
2023-10-01 00:06:33,135,177
2023-10-01 00:06:34,129,173
2023-10-01 00:06:35,141,175
2023-10-01 00:06:36,132,175
2023-10-01 00:06:37,141,177
2023-10-01 00:06:38,129,176
2023-10-01 00:06:39,133,173
2023-10-01 00:06:40,139,176
2023-10-01 00:06:41,138,175
2023-10-01 00:06:42,141,174
2023-10-01 00:06:43,131,172
2023-10-01 00:06:44,138,173
2023-10-01 00:06:45,128,172
2023-10-01 00:06:46,132,176
2023-10-01 00:06:47,141,177
2023-10-01 00:06:48,129,173
2023-10-01 00:06:49,141,174
2023-10-01 00:06:50,142,174
2023-10-01 00:06:51,139,177
2023-10-01 00:06:52,140,177
2023-10-01 00:06:53,134,172
2023-10-01 00:06:54,142,177
2023-10-01 00:06:55,135,172
2023-10-01 00:06:56,137,175
2023-10-01 00:06:57,136,174
2023-10-01 00:06:58,136,172
2023-10-01 00:06:59,138,176
2023-10-01 00:07:00,131,176
2023-10-01 00:07:01,141,172
2023-10-01 00:07:02,131,173
2023-10-01 00:07:03,135,177
2023-10-01 00:07:04,129,174
2023-10-01 00:07:05,133,177
2023-10-01 00:07:06,130,173
2023-10-01 00:07:07,129,176
2023-10-01 00:07:08,131,176
2023-10-01 00:07:09,131,177
2023-10-01 00:07:10,134,174
2023-10-01 00:07:11,140,175
2023-10-01 00:07:12,140,173
2023-10-01 00:07:13,139,172
2023-10-01 00:07:14,134,174
2023-10-01 00:07:15,142,175
2023-10-01 00:07:16,130,175
2023-10-01 00:07:17,138,176
2023-10-01 00:07:18,133,172
2023-10-01 00:07:19,130,177
2023-10-01 00:07:20,128,176
2023-10-01 00:07:21,131,177
2023-10-01 00:07:22,137,176
2023-10-01 00:07:23,129,172
2023-10-01 00:07:24,139,174
2023-10-01 00:07:25,140,174
2023-10-01 00:07:26,130,172
2023-10-01 00:07:27,139,175
2023-10-01 00:07:28,133,173
2023-10-01 00:07:29,135,174
2023-10-01 00:07:30,131,172
2023-10-01 00:07:31,142,176
2023-10-01 00:07:32,128,173
2023-10-01 00:07:33,142,173
2023-10-01 00:07:34,139,172
2023-10-01 00:07:35,140,176
2023-10-01 00:07:36,138,173
2023-10-01 00:07:37,128,174
2023-10-01 00:07:38,132,177
2023-10-01 00:07:39,134,172
2023-10-01 00:07:40,139,176
2023-10-01 00:07:41,135,172
2023-10-01 00:07:42,142,175
2023-10-01 00:07:43,141,177
2023-10-01 00:07:44,141,173
2023-10-01 00:07:45,131,177
2023-10-01 00:07:46,137,172
2023-10-01 00:07:47,135,175
2023-10-01 00:07:48,129,176
2023-10-01 00:07:49,129,174
2023-10-01 00:07:50,131,177
2023-10-01 00:07:51,133,175
2023-10-01 00:07:52,132,176
2023-10-01 00:07:53,132,176
2023-10-01 00:07:54,141,173
2023-10-01 00:07:55,131,174
2023-10-01 00:07:56,142,177
2023-10-01 00:07:57,139,172
2023-10-01 00:07:58,139,172
2023-10-01 00:07:59,134,177
2023-10-01 00:08:00,131,175
2023-10-01 00:08:01,128,177
2023-10-01 00:08:02,130,172
2023-10-01 00:08:03,140,175
2023-10-01 00:08:04,139,173
2023-10-01 00:08:05,132,174
2023-10-01 00:08:06,140,173
2023-10-01 00:08:07,131,177
2023-10-01 00:08:08,131,176
2023-10-01 00:08:09,140,174
2023-10-01 00:08:10,132,172
2023-10-01 00:08:11,128,176
2023-10-01 00:08:12,134,177
2023-10-01 00:08:13,132,172
2023-10-01 00:08:14,133,175
2023-10-01 00:08:15,141,172
2023-10-01 00:08:16,140,174
2023-10-01 00:08:17,137,176
2023-10-01 00:08:18,142,177
2023-10-01 00:08:19,130,175
2023-10-01 00:08:20,131,177
2023-10-01 00:08:21,137,175
2023-10-01 00:08:22,135,176
2023-10-01 00:08:23,138,173
2023-10-01 00:08:24,141,176
2023-10-01 00:08:25,141,176
2023-10-01 00:08:26,142,177
2023-10-01 00:08:27,129,172
2023-10-01 00:08:28,128,174
2023-10-01 00:08:29,141,173
2023-10-01 00:08:30,137,175
2023-10-01 00:08:31,142,177
2023-10-01 00:08:32,135,174
2023-10-01 00:08:33,142,174
2023-10-01 00:08:34,140,172
2023-10-01 00:08:35,139,172
2023-10-01 00:08:36,142,175
2023-10-01 00:08:37,135,174
2023-10-01 00:08:38,136,176
2023-10-01 00:08:39,137,172
2023-10-01 00:08:40,141,174
2023-10-01 00:08:41,128,173
2023-10-01 00:08:42,142,177
2023-10-01 00:08:43,133,176
2023-10-01 00:08:44,130,172
2023-10-01 00:08:45,136,175
2023-10-01 00:08:46,138,172
2023-10-01 00:08:47,137,175
2023-10-01 00:08:48,139,172
2023-10-01 00:08:49,140,176
2023-10-01 00:08:50,131,175
2023-10-01 00:08:51,141,174
2023-10-01 00:08:52,131,172
2023-10-01 00:08:53,140,175
2023-10-01 00:08:54,136,177
2023-10-01 00:08:55,136,172
2023-10-01 00:08:56,130,175
2023-10-01 00:08:57,133,175
2023-10-01 00:08:58,142,172
2023-10-01 00:08:59,130,175
2023-10-01 00:09:00,141,176
2023-10-01 00:09:01,134,175
2023-10-01 00:09:02,128,175
2023-10-01 00:09:03,133,175
2023-10-01 00:09:04,136,175
2023-10-01 00:09:05,141,174
2023-10-01 00:09:06,133,177
2023-10-01 00:09:07,141,173
2023-10-01 00:09:08,130,172
2023-10-01 00:09:09,141,172
2023-10-01 00:09:10,135,177
2023-10-01 00:09:11,133,172
2023-10-01 00:09:12,142,177
2023-10-01 00:09:13,139,172
2023-10-01 00:09:14,133,172
2023-10-01 00:09:15,135,177
2023-10-01 00:09:16,138,172
2023-10-01 00:09:17,131,176
2023-10-01 00:09:18,142,175
2023-10-01 00:09:19,129,174
2023-10-01 00:09:20,128,172
2023-10-01 00:09:21,142,174
2023-10-01 00:09:22,129,173
2023-10-01 00:09:23,133,172
2023-10-01 00:09:24,133,177
2023-10-01 00:09:25,141,172
2023-10-01 00:09:26,134,174
2023-10-01 00:09:27,136,173
2023-10-01 00:09:28,130,172
2023-10-01 00:09:29,136,173
2023-10-01 00:09:30,140,172
2023-10-01 00:09:31,130,177
2023-10-01 00:09:32,131,175
2023-10-01 00:09:33,141,173
2023-10-01 00:09:34,133,173
2023-10-01 00:09:35,129,174
2023-10-01 00:09:36,137,173
2023-10-01 00:09:37,128,173
2023-10-01 00:09:38,136,172
2023-10-01 00:09:39,133,173
2023-10-01 00:09:40,135,175
2023-10-01 00:09:41,128,174
2023-10-01 00:09:42,141,176
2023-10-01 00:09:43,142,175
2023-10-01 00:09:44,142,177
2023-10-01 00:09:45,132,176
2023-10-01 00:09:46,131,176
2023-10-01 00:09:47,139,177
2023-10-01 00:09:48,129,173
2023-10-01 00:09:49,137,174
2023-10-01 00:09:50,129,176
2023-10-01 00:09:51,133,177
2023-10-01 00:09:52,129,174
2023-10-01 00:09:53,131,173
2023-10-01 00:09:54,135,173
2023-10-01 00:09:55,137,177
2023-10-01 00:09:56,138,176
2023-10-01 00:09:57,137,173
2023-10-01 00:09:58,130,177
2023-10-01 00:09:59,132,175
2023-10-01 00:10:00,142,177
2023-10-01 00:10:01,132,177
2023-10-01 00:10:02,131,172
2023-10-01 00:10:03,138,176
2023-10-01 00:10:04,136,174
2023-10-01 00:10:05,141,175
2023-10-01 00:10:06,140,177
2023-10-01 00:10:07,138,177
2023-10-01 00:10:08,131,174
2023-10-01 00:10:09,141,175
2023-10-01 00:10:10,141,177
2023-10-01 00:10:11,137,173
2023-10-01 00:10:12,128,176
2023-10-01 00:10:13,132,172
2023-10-01 00:10:14,133,177
2023-10-01 00:10:15,138,174
2023-10-01 00:10:16,138,177
2023-10-01 00:10:17,141,175
2023-10-01 00:10:18,138,175
2023-10-01 00:10:19,138,175
2023-10-01 00:10:20,134,172
2023-10-01 00:10:21,136,177
2023-10-01 00:10:22,139,175
2023-10-01 00:10:23,131,175
2023-10-01 00:10:24,141,173
2023-10-01 00:10:25,142,174
2023-10-01 00:10:26,131,174
2023-10-01 00:10:27,129,173
2023-10-01 00:10:28,139,172
2023-10-01 00:10:29,130,172
2023-10-01 00:10:30,133,176
2023-10-01 00:10:31,141,173
2023-10-01 00:10:32,131,174
2023-10-01 00:10:33,132,172
2023-10-01 00:10:34,132,174
2023-10-01 00:10:35,141,174
2023-10-01 00:10:36,129,175
2023-10-01 00:10:37,141,177
2023-10-01 00:10:38,131,176
2023-10-01 00:10:39,140,177
2023-10-01 00:10:40,142,176
2023-10-01 00:10:41,140,175
2023-10-01 00:10:42,132,173
2023-10-01 00:10:43,130,177
2023-10-01 00:10:44,129,174
2023-10-01 00:10:45,134,177
2023-10-01 00:10:46,132,176
2023-10-01 00:10:47,137,177
2023-10-01 00:10:48,136,175
2023-10-01 00:10:49,138,177
2023-10-01 00:10:50,135,176
2023-10-01 00:10:51,136,173
2023-10-01 00:10:52,141,175
2023-10-01 00:10:53,130,175
2023-10-01 00:10:54,131,174
2023-10-01 00:10:55,131,173
2023-10-01 00:10:56,129,176
2023-10-01 00:10:57,141,172
2023-10-01 00:10:58,137,174
2023-10-01 00:10:59,130,176
2023-10-01 00:11:00,139,177
2023-10-01 00:11:01,138,172
2023-10-01 00:11:02,133,176
2023-10-01 00:11:03,128,175
2023-10-01 00:11:04,132,173
2023-10-01 00:11:05,128,173
2023-10-01 00:11:06,136,176
2023-10-01 00:11:07,140,172
2023-10-01 00:11:08,137,177
2023-10-01 00:11:09,131,175
2023-10-01 00:11:10,134,177
2023-10-01 00:11:11,129,175
2023-10-01 00:11:12,140,173
2023-10-01 00:11:13,128,174
2023-10-01 00:11:14,131,173
2023-10-01 00:11:15,141,172
2023-10-01 00:11:16,141,172
2023-10-01 00:11:17,142,174
2023-10-01 00:11:18,142,177
2023-10-01 00:11:19,129,176
2023-10-01 00:11:20,140,175
2023-10-01 00:11:21,134,175
2023-10-01 00:11:22,132,175
2023-10-01 00:11:23,140,174
2023-10-01 00:11:24,131,176
2023-10-01 00:11:25,134,174
2023-10-01 00:11:26,133,173
2023-10-01 00:11:27,133,175
2023-10-01 00:11:28,142,173
2023-10-01 00:11:29,142,174
2023-10-01 00:11:30,128,174
2023-10-01 00:11:31,133,177
2023-10-01 00:11:32,136,174
2023-10-01 00:11:33,130,174
2023-10-01 00:11:34,130,173
2023-10-01 00:11:35,129,174
2023-10-01 00:11:36,142,172
2023-10-01 00:11:37,134,176
2023-10-01 00:11:38,136,173
2023-10-01 00:11:39,140,174
2023-10-01 00:11:40,132,176
2023-10-01 00:11:41,136,172
2023-10-01 00:11:42,132,174
2023-10-01 00:11:43,138,175
2023-10-01 00:11:44,135,177
2023-10-01 00:11:45,141,176
2023-10-01 00:11:46,129,173
2023-10-01 00:11:47,135,177
2023-10-01 00:11:48,137,177
2023-10-01 00:11:49,134,175
2023-10-01 00:11:50,130,176
2023-10-01 00:11:51,128,175
2023-10-01 00:11:52,132,176
2023-10-01 00:11:53,139,174
2023-10-01 00:11:54,130,175
2023-10-01 00:11:55,139,175
2023-10-01 00:11:56,141,177
2023-10-01 00:11:57,137,173
2023-10-01 00:11:58,128,174
2023-10-01 00:11:59,134,177
2023-10-01 00:12:00,137,172
2023-10-01 00:12:01,137,177
2023-10-01 00:12:02,131,177
2023-10-01 00:12:03,132,174
2023-10-01 00:12:04,131,177
2023-10-01 00:12:05,135,174
2023-10-01 00:12:06,139,175
2023-10-01 00:12:07,130,172
2023-10-01 00:12:08,141,177
2023-10-01 00:12:09,128,175
2023-10-01 00:12:10,129,172
2023-10-01 00:12:11,129,176
2023-10-01 00:12:12,136,175
2023-10-01 00:12:13,136,176
2023-10-01 00:12:14,132,175
2023-10-01 00:12:15,134,172
2023-10-01 00:12:16,139,175
2023-10-01 00:12:17,141,174
2023-10-01 00:12:18,138,177
2023-10-01 00:12:19,137,176
2023-10-01 00:12:20,131,175
2023-10-01 00:12:21,131,173
2023-10-01 00:12:22,132,172
2023-10-01 00:12:23,137,174
2023-10-01 00:12:24,135,176
2023-10-01 00:12:25,141,174
2023-10-01 00:12:26,128,175
2023-10-01 00:12:27,128,173
2023-10-01 00:12:28,129,175
2023-10-01 00:12:29,136,175
2023-10-01 00:12:30,134,176
2023-10-01 00:12:31,129,175
2023-10-01 00:12:32,134,177
2023-10-01 00:12:33,130,175
2023-10-01 00:12:34,138,176
2023-10-01 00:12:35,138,177
2023-10-01 00:12:36,134,176
2023-10-01 00:12:37,136,173
2023-10-01 00:12:38,138,176
2023-10-01 00:12:39,137,174
2023-10-01 00:12:40,142,172
2023-10-01 00:12:41,134,176
2023-10-01 00:12:42,129,172
2023-10-01 00:12:43,138,175
2023-10-01 00:12:44,132,177
2023-10-01 00:12:45,139,172
2023-10-01 00:12:46,141,177
2023-10-01 00:12:47,138,177
2023-10-01 00:12:48,141,177
2023-10-01 00:12:49,136,176
2023-10-01 00:12:50,136,177
2023-10-01 00:12:51,138,176
2023-10-01 00:12:52,129,177
2023-10-01 00:12:53,141,173
2023-10-01 00:12:54,129,176
2023-10-01 00:12:55,131,174
2023-10-01 00:12:56,135,176
2023-10-01 00:12:57,142,177
2023-10-01 00:12:58,141,173
2023-10-01 00:12:59,137,174
2023-10-01 00:13:00,128,175
2023-10-01 00:13:01,142,176
2023-10-01 00:13:02,135,176
2023-10-01 00:13:03,129,176
2023-10-01 00:13:04,138,175
2023-10-01 00:13:05,140,173
2023-10-01 00:13:06,128,177
2023-10-01 00:13:07,138,177
2023-10-01 00:13:08,130,174
2023-10-01 00:13:09,136,174
2023-10-01 00:13:10,142,176
2023-10-01 00:13:11,141,172
2023-10-01 00:13:12,141,175
2023-10-01 00:13:13,131,176
2023-10-01 00:13:14,142,172
2023-10-01 00:13:15,129,176
2023-10-01 00:13:16,128,175
2023-10-01 00:13:17,137,176
2023-10-01 00:13:18,136,176
2023-10-01 00:13:19,137,175
2023-10-01 00:13:20,136,177
2023-10-01 00:13:21,142,175
2023-10-01 00:13:22,138,173
2023-10-01 00:13:23,137,174
2023-10-01 00:13:24,132,175
2023-10-01 00:13:25,129,175
2023-10-01 00:13:26,135,175
2023-10-01 00:13:27,129,176
2023-10-01 00:13:28,141,176
2023-10-01 00:13:29,142,173
2023-10-01 00:13:30,133,177
2023-10-01 00:13:31,137,174
2023-10-01 00:13:32,128,177
2023-10-01 00:13:33,130,174
2023-10-01 00:13:34,141,177
2023-10-01 00:13:35,134,177
2023-10-01 00:13:36,138,177
2023-10-01 00:13:37,129,176
2023-10-01 00:13:38,139,174
2023-10-01 00:13:39,138,177
2023-10-01 00:13:40,135,173
